COMPANY NAME,Listing date,Lisiting Date,Lisiting Month,Lisiting Year,Issue Size,Issue Price,QIB,HNI,retail,total Subscription,Listing Open (Rs),Listing Close (Rs),Listing Gain %,LTP (Rs),Current Gain %,Status
Thaai Casting Ltd.,23-Feb-24,23,2,2024,47.2,77,76,960.4,467.9,345.9,185.9,195.2,153%,176.4,129%,Profit
Interiors & More Ltd.,23-Feb-24,23,2,2024,42,227,1.9,40.8,10.5,10.8,270,283.5,25%,343,51%,Profit
Atmastco Ltd.,23-Feb-24,23,2,2024,56.3,77,0,14.4,18.4,16.4,91,95.5,24%,276.3,259%,Profit
Vibhor Steel Tubes Ltd.,20-Feb-24,20,2,2024,72.2,151,178.7,721.3,188.2,298.9,425,446.3,196%,252,67%,Profit
Wise Travel India Ltd.,19-Feb-24,19,2,2024,94.7,147,54.6,481.4,139.1,148.2,195,204.8,39%,279.1,90%,Profit
Entero Healthcare Solutions Ltd.,16-Feb-24,16,2,2024,1600,1258,2.3,0.2,1.3,1.5,1228.7,1149.5,-9%,1366.6,9%,Loss
Rudra Gas Enterprise Ltd.,15-Feb-24,15,2,2024,14.2,63,0,281.9,383.5,332.7,119.7,125.7,100%,179.8,186%,Profit
Rashi Peripherals Ltd.,14-Feb-24,14,2,2024,600,311,143.7,62.8,10.4,59.7,339.5,321.5,3%,381.6,23%,Profit
Jana Small Finance Bank Ltd.,14-Feb-24,14,2,2024,570,414,38.8,25.1,5.5,18.5,396,368.1,-11%,577.1,39%,Loss
Apeejay Surrendra Park Hotels Ltd.,12-Feb-24,12,2,2024,920,155,75.1,52.4,30.4,59.7,186,203.6,31%,172.3,11%,Profit
Gabriel Pet Straps Ltd.,7-Feb-24,7,2,2024,8.1,101,0,349,116.1,232.6,115,120.8,20%,128,27%,Profit
BLS E-Services Ltd.,6-Feb-24,6,2,2024,310.9,135,123.3,300.1,237,162.5,305,366,171%,238.3,77%,Profit
Megatherm Induction Ltd.,5-Feb-24,5,2,2024,53.9,108,55.8,408.5,266.3,182.4,198,207.9,93%,353.3,227%,Profit
Mayank Cattle Food Ltd.,5-Feb-24,5,2,2024,19.4,108,0,5.7,11.2,8.4,116,120,11%,212.7,97%,Profit
Harshdeep Hortico Ltd.,5-Feb-24,5,2,2024,19.1,45,54.2,134.4,98.3,96.4,70,66.5,48%,67,49%,Profit
Fonebo Retail Ltd.,2-Feb-24,2,2,2024,20.4,70,74,1091.7,1178.7,613.3,200,210,200%,186,166%,Profit
DelaPle Ltd.,2-Feb-24,2,2,2024,46.1,192,48.2,445.6,212.2,165.2,309,324.4,69%,247.8,29%,Profit
Docmode Health Technologies Ltd.,2-Feb-24,2,2,2024,6.7,79,0,185.1,218.7,201.9,190.3,180.8,129%,109.2,38%,Profit
Nova Agritech Ltd.,31-Jan-24,31,1,2024,143.8,41,79.3,224.1,77.1,109.4,55,57.8,41%,67.1,64%,Profit
Brisk Technovision Ltd.,31-Jan-24,31,1,2024,12.5,156,0,55.5,34.1,44.8,175,183.8,18%,135.7,-13%,Profit
Konstelec Engineers Ltd.,30-Jan-24,30,1,2024,28.7,70,60.4,561.5,581.3,317.9,210,220.5,215%,178.8,156%,Profit
Addictive Learning Technology Ltd.,30-Jan-24,30,1,2024,60.2,140,59.5,533.7,387.3,245.3,310,294.5,110%,320.4,129%,Profit
EPack Durables Ltd.,30-Jan-24,30,1,2024,640,230,25.5,28.1,6.3,16.4,221,207.6,-10%,398.8,73%,Loss
Qualitek Labs Ltd.,29-Jan-24,29,1,2024,19.6,100,0,74.8,37.2,56,190,199.5,100%,294.8,195%,Profit
Medi Assist Healthcare Services Ltd.,23-Jan-24,23,1,2024,1171.6,418,40.1,14.8,3.2,16.3,460,464.1,11%,683.3,64%,Profit
Maposure Ltd.,23-Jan-24,23,1,2024,20.3,33,83.4,2574,1363.1,904.9,145,137.8,317%,100.3,204%,Profit
Shree Marutinandan Tubes Ltd.,19-Jan-24,19,1,2024,14.3,143,0,33,56.7,44.9,200,210,47%,203,42%,Profit
New Swan Multitech Ltd.,18-Jan-24,18,1,2024,33.1,66,110.7,544.8,388.2,356.9,125.4,131.7,100%,75,14%,Profit
Jyoti CNC Automation Ltd.,16-Jan-24,16,1,2024,1000,331,44.1,36.5,26.2,38.5,370,434.2,31%,1170.1,254%,Profit
IBL Finance Ltd.,16-Jan-24,16,1,2024,33.4,51,0,9.6,22.8,16.2,56,58.8,15%,84.5,66%,Profit
Kaushalya Logistics Ltd.,8-Jan-24,8,1,2024,36.6,75,51.3,1110,491.4,364.2,100,105,40%,134,79%,Profit
Akanksha Power and Infrastructure Ltd.,3-Jan-24,3,1,2024,27.5,55,20.4,316.8,146.3,108.9,62,65.1,18%,144.1,162%,Profit
HRH Net Services Ltd.,3-Jan-24,3,1,2024,9.6,36,0,63.7,60.3,62,41,43,20%,110.6,207%,Profit
Shri Balaji Valve Components Ltd.,3-Jan-24,3,1,2024,21.6,100,70,800.1,169.9,276.5,190,199.5,100%,269.4,169%,Profit
Manoj Ceramic Ltd.,3-Jan-24,3,1,2024,14.5,62,0,7,10.2,8.6,82,77.9,26%,102,64%,Profit
AIK Pipes And Polymers Ltd.,2-Jan-24,2,1,2024,15,89,0,53.5,29.4,41.4,100,105,18%,137.9,55%,Profit
A G Universal Ltd.,24-Apr-23,24,4,2023,8.7,60,0,4.2,2.5,3.4,60,60.1,0%,62.5,4%,Profit
ASK Automotive Ltd.,15-Nov-23,15,11,2023,833.9,282,142.4,35.5,5.7,51.1,303.3,310.1,10%,458.8,63%,Profit
AccelerateBS India Ltd.,19-Jul-23,19,7,2023,5.7,90,0,37.3,56,46.6,109.5,115,28%,250,344%,Profit
Accent Microcell Ltd.,15-Dec-23,15,12,2023,78.4,140,63,766.7,544.7,337.1,300,315,125%,272.9,95%,Profit
Aerofle Industries Ltd.,31-Aug-23,31,8,2023,351,108,194.7,126.1,34.4,97.1,190,163.3,51%,181.6,68%,Profit
Agarwal Float Glass India Ltd.,23-Feb-23,23,2,2023,9.2,42,0,3.1,7.2,5.2,44,44,5%,97.3,132%,Profit
Ahasolar Technologies Ltd.,21-Jul-23,21,7,2023,12.8,157,0,22.3,43.8,33,203,213.2,36%,348,122%,Profit
Alphalogic Industries Ltd.,14-Jul-23,14,7,2023,12.9,96,0,-,5.1,4.6,96,96.3,0%,210,338%,Profit
Amanaya Ventures Ltd.,9-Mar-23,9,3,2023,2.8,23,0,0.8,2.7,1.8,20.1,19.1,-17%,18,-22%,Loss
Anlon Technology Solutions Ltd.,10-Jan-23,10,1,2023,15,100,54.5,883.6,446.8,428.5,251.1,263.6,164%,405,305%,Profit
Arabian Petroleum Ltd.,9-Oct-23,9,10,2023,20.2,70,0,15,22,18.5,77.4,76.3,9%,104,49%,Profit
Aristo Bio-Tech and Lifescience Ltd.,30-Jan-23,30,1,2023,13.1,72,0,285.8,149.5,217.7,80,84,17%,109,51%,Profit
Arrowhead Seperation Engineering Ltd.,28-Nov-23,28,11,2023,13,233,0,44.9,134.6,89.8,250,237.5,2%,173,-26%,Profit
Arvind and Company Shipping Agencies Ltd.,25-Oct-23,25,10,2023,14.7,45,0,413.8,305.5,359.6,80,80,78%,125.8,180%,Profit
Asarfi Hospital Ltd.,26-Jul-23,26,7,2023,26.9,52,50.6,334.2,167.8,181.5,98.8,103.7,100%,63.2,22%,Profit
Auro Impe & Chemicals Ltd.,23-May-23,23,5,2023,24.3,78,6.3,235.7,81.2,66.9,78,75.7,-3%,81.5,4%,Loss
Avalon Technologies Ltd.,18-Apr-23,18,4,2023,865,436,3.6,0.4,0.8,2.2,436,398,-9%,581.8,33%,Loss
Azad Engineering Ltd.,28-Dec-23,28,12,2023,740,524,179.7,87.6,23.8,80.7,720,677.5,29%,1490.2,184%,Profit
Baba Food Processing (India) Ltd.,15-Nov-23,15,11,2023,33,76,135.9,34,137.4,66,76,72.2,-5%,55.8,-27%,Loss
Basilic Fly Studio Ltd.,11-Sep-23,11,9,2023,66.3,97,53.1,628.4,473.8,286.6,271,284.6,193%,474.2,389%,Profit
Benchmark Computer Solutions Ltd.,21-Dec-23,21,12,2023,12.2,66,0,179.9,279.5,229.7,80,77.1,17%,49.2,-26%,Profit
Blue Jet Healthcare Ltd,1-Nov-23,1,11,2023,840.3,346,13.7,13.6,2.2,8,380,413.3,19%,521.1,51%,Profit
Bright Outdoor Media Ltd.,24-Mar-23,24,3,2023,55.5,146,0,1.4,1.1,1.3,150,157.5,8%,492.1,237%,Profit
CFF Fluid Control Ltd.,12-Jun-23,12,6,2023,85.8,165,0,2.6,1.5,2,175,183.8,11%,672.5,308%,Profit
CPS Shapers Ltd.,7-Sep-23,7,9,2023,11.1,185,0,188,285.4,236.7,450,472.5,155%,328.6,78%,Profit
Canarys Automations Ltd.,11-Oct-23,11,10,2023,47,31,1.3,22.3,14.1,8.9,43.5,41.3,33%,43.5,41%,Profit
Cellecor Gadgets Ltd.,28-Sep-23,28,9,2023,50.8,92,0,101.2,115.4,108.3,92,96.6,5%,64.8,604%,Profit
Cello World Ltd.,6-Nov-23,6,11,2023,1900,648,108.6,24.4,3.1,38.9,829,791.7,22%,875.6,35%,Profit
Chaman Metallics Ltd.,16-Jan-23,16,1,2023,24.2,38,0,255.9,159.8,207.9,68,64.6,70%,128,237%,Profit
Chavda Infra Ltd.,25-Sep-23,25,9,2023,43.3,65,50.5,321.7,268.3,167.4,91,86.5,33%,189,191%,Profit
Cityops Agro Ltd.,10-Oct-23,10,10,2023,15,25,0,2.1,4.5,3.3,25.5,25.4,2%,28.4,14%,Profit
Command Polymers Ltd.,29-Mar-23,29,3,2023,7.1,28,0,1.8,1,1.4,26.8,26.5,-5%,29.4,5%,Loss
Committed Cargo Care Ltd.,18-Oct-23,18,10,2023,24.9,77,0,89.5,74.7,82.1,82,86.1,12%,56.5,-27%,Profit
Comrade Appliances Ltd.,13-Jun-23,13,6,2023,12.3,54,21.9,120.8,72.1,71.9,87,91.3,69%,129.3,139%,Profit
Concord Biotech Ltd.,18-Aug-23,18,8,2023,1551,741,67.7,17,3.8,24.9,900,942.8,27%,2601.1,251%,Profit
Crayons Advertising Ltd.,2-Jun-23,2,6,2023,41.8,65,24,308.6,225.7,137.3,90,94.5,45%,120,85%,Profit
Credo Brands Marketing Ltd.,27-Dec-23,27,12,2023,549.8,280,105,55.5,19.9,51.9,282.4,312.2,12%,198.4,-29%,Profit
Crop Life Science Ltd.,30-Aug-23,30,8,2023,26.7,52,0,1.6,6.8,4.2,56,53.1,2%,56.3,8%,Profit
Cyient DLM Ltd.,10-Jul-23,10,7,2023,592,265,90.4,45,49.2,67.3,403,420.6,59%,691.8,161%,Profit
DOMS Industries Ltd.,20-Dec-23,20,12,2023,1200,790,116,66.5,69.7,93.5,1400,1326,68%,2699.2,242%,Profit
De Neers Tools Ltd.,11-May-23,11,5,2023,23,101,3.7,60.2,11.9,15,190,180.5,79%,201.5,100%,Profit
Deepak Chemte Ltd.,6-Dec-23,6,12,2023,23,80,96.8,473.2,475.4,374.3,152,159.6,100%,95.4,19%,Profit
Dev Labtech Venture Ltd.,29-Mar-23,29,3,2023,11.2,51,0,2.6,8.2,5.5,51,50.2,-2%,85.5,68%,Loss
Dharni Capital Services Ltd.,31-Jan-23,31,1,2023,10.7,20,0,6.3,6.8,6.5,21,20.3,1%,44.2,121%,Profit
Digikore Studios Ltd.,4-Oct-23,4,10,2023,30.5,171,32.4,448.2,456.3,243.1,270,283.5,66%,429.4,151%,Profit
Divgi Torqtransfer Systems Ltd.,14-Mar-23,14,3,2023,412.1,590,7.8,1.4,4.3,5.4,620,605.2,3%,599.3,2%,Profit
Drone Destination Ltd.,21-Jul-23,21,7,2023,44.2,65,18.7,226.4,231.7,124.4,107.5,102.1,57%,240.6,270%,Profit
Ducol Organics & Colours Ltd.,19-Jan-23,19,1,2023,31.5,78,0,58.1,31,44.6,112,117.5,51%,126,62%,Profit
E Factor Eperiences Ltd.,9-Oct-23,9,10,2023,25.9,75,24.5,224.1,63.4,68,115,120.8,61%,230.2,207%,Profit
EMS Ltd.,21-Sep-23,21,9,2023,321.2,211,153,82.3,29.8,75.3,282.1,279.9,33%,817,287%,Profit
ESAF Small Finance Bank Ltd.,10-Nov-23,10,11,2023,463,60,173.5,84.4,17,73.2,71,69,15%,49.7,-17%,Profit
Earthstahl & Alloys Ltd.,8-Feb-23,8,2,2023,13,40,39.8,445.1,190.7,234.8,55,57.8,44%,39.4,-2%,Profit
Eastern Logica Infoway Ltd.,17-Jan-23,17,1,2023,16.9,225,0,1.9,1.6,1.7,270,283.5,26%,245,553%,Profit
Electro Force (India) Ltd.,27-Dec-23,27,12,2023,80.7,93,0,2.1,6.1,4.1,100,105,13%,72.9,-22%,Profit
Essen Speciality Films Ltd.,6-Jul-23,6,7,2023,66.3,107,24,149.7,90.4,66.1,140,147,37%,357.1,234%,Profit
Ehicon Events Media Solutions Ltd.,17-Apr-23,17,4,2023,21.1,64,1,3.3,2.3,1.9,64,67.2,5%,300.8,370%,Profit
Fedbank Financial Services Ltd.,30-Nov-23,30,11,2023,1092.3,140,3.5,1.4,1.8,2.2,138,140.3,0%,119.1,-15%,Profit
Flair Writing Industries Ltd.,1-Dec-23,1,12,2023,593,304,115.6,33.4,13,46.7,501,450.9,48%,312.6,3%,Profit
Gandhar Oil Refinery (India) Ltd.,30-Nov-23,30,11,2023,500.7,169,129,62.2,28.9,64.1,298,301.4,78%,208.4,23%,Profit
Global Pet Industries Ltd.,11-Jul-23,11,7,2023,13.2,49,0,4.3,3.9,4.1,51.7,55.4,13%,103.8,112%,Profit
Global Surfaces Ltd.,23-Mar-23,23,3,2023,155,140,8.9,33.1,5.1,12.2,164,171.1,22%,216.6,55%,Profit
Greenchef Appliances Ltd,6-Jul-23,6,7,2023,53.6,87,22.7,127.9,83.1,59.6,104,109.2,26%,82,-6%,Profit
Happy Forgings Ltd.,27-Dec-23,27,12,2023,1008.6,850,220.5,62.2,15.1,82,1000,1030.8,21%,1221.8,44%,Profit
Hemant Surgical Industries Ltd.,5-Jun-23,5,6,2023,24.8,90,41,203.3,158.7,139.7,171,179.6,100%,152,69%,Profit
Hi-Green Carbon Ltd.,28-Sep-23,28,9,2023,52.8,75,36.6,310.7,257.1,154.9,77,80.8,8%,242.6,223%,Profit
Holmarc Opto-Mechatronics Ltd.,25-Sep-23,25,9,2023,11.4,40,0,88.7,72,80.3,65.3,68.5,71%,120,200%,Profit
Homesfy Realty Ltd.,2-Jan-23,2,1,2023,15.9,197,0,26.8,16.5,21.7,275.1,287.9,46%,545,177%,Profit
Honasa Consumer Ltd.,7-Nov-23,7,11,2023,1701.4,324,11.5,4,1.4,7.6,330,337.1,4%,477.6,47%,Profit
IKIO Lighting Ltd.,16-Jun-23,16,6,2023,607,285,163.6,63.4,13.9,66.3,392.5,403.9,42%,299.9,5%,Profit
IRM Energy Ltd.,26-Oct-23,26,10,2023,545.4,505,44.7,48.3,9.3,27.1,477.3,473.1,-6%,445.6,-12%,Loss
India Shelter Finance Corporation Ltd.,20-Dec-23,20,12,2023,1200,493,89.7,28.5,9.9,36.7,620,544.7,11%,718.9,46%,Profit
Indong Tea Company Ltd.,21-Feb-23,21,2,2023,13,26,0,2.2,7.8,5,20.8,21.8,-16%,29.8,14%,Loss
Infinium Pharmachem Ltd.,17-Apr-23,17,4,2023,25.3,135,0,1.8,1.9,1.9,141.5,147.8,10%,294.1,336%,Profit
Infollion Research Services Ltd.,8-Jun-23,8,6,2023,21.4,82,36.1,800.4,345.5,259.1,209,198.6,142%,281,243%,Profit
Innova Captab Ltd.,29-Dec-23,29,12,2023,570,448,116.7,65,17.1,55.3,452.1,541.4,21%,794.9,77%,Profit
Innovatus Entertainment Networks Ltd.,4-Aug-23,4,8,2023,7.7,50,0,57,142.9,100,50,49,-2%,42.5,-15%,Loss
Ino India Ltd.,21-Dec-23,21,12,2023,1459.3,660,147.8,53.2,15.3,61.3,949.6,940,42%,1094,66%,Profit
JSW Infrastructure Ltd.,3-Oct-23,3,10,2023,2800,119,57.1,16,10.3,37.4,143,157.3,32%,336.4,183%,Profit
Jiwanram Sheoduttrai Industries Ltd.,18-Sep-23,18,9,2023,17.1,23,0,66.3,144,105.2,30,28.5,24%,18.3,-21%,Profit
Jupiter Life Line Hospitals Ltd.,18-Sep-23,18,9,2023,869.1,735,187.3,34.8,7.7,63.7,973,1075.8,46%,1342.3,83%,Profit
KK Shah Hospitals Ltd.,6-Nov-23,6,11,2023,8.8,45,0,16.9,8.9,12.9,56.1,58.9,31%,46,2%,Profit
Kahan Packaging Ltd.,15-Sep-23,15,9,2023,5.8,80,0,393.1,986.8,689.9,152,159.6,100%,76.2,-5%,Profit
Kaka Industries Ltd.,19-Jul-23,19,7,2023,21.2,58,72.1,316,358.9,271.3,110.2,115.7,100%,260,348%,Profit
Kalyani Cast-Tech Ltd.,17-Nov-23,17,11,2023,30.1,139,66.3,188.6,190.9,162.4,264.1,277.3,100%,502.3,261%,Profit
Karnika Industries Ltd.,12-Oct-23,12,10,2023,25.1,76,0,3.2,2.8,3,81,82.6,9%,260.6,243%,Profit
Khazanchi Jewellers Ltd.,7-Aug-23,7,8,2023,96.7,140,0,1.8,0.7,1.3,142.3,149.4,7%,529.5,278%,Profit
Kontor Space Ltd.,10-Oct-23,10,10,2023,15.6,93,0,39.8,90.6,65.2,122,115.9,25%,157,69%,Profit
Kundan Edifice Ltd.,26-Sep-23,26,9,2023,25.2,91,0,34,41.9,37.9,75,78.8,-14%,146.3,61%,Loss
Labelkraft Technologies Ltd.,23-Mar-23,23,3,2023,4.8,55,0,46.8,59.8,53.4,56,55.8,1%,69,25%,Profit
Lead Reclaim and Rubber Products Ltd.,21-Feb-23,21,2,2023,4.9,25,0,87.6,63.9,75.7,27.5,27.6,11%,106.9,328%,Profit
MCON Rasayan India Ltd.,20-Mar-23,20,3,2023,6.8,40,0,307.1,453.4,384.6,48,50.4,26%,177.3,343%,Profit
MOS Utility Ltd.,18-Apr-23,18,4,2023,50,76,5.4,55,11.4,14.9,90,94.5,24%,324.1,326%,Profit
Madhusudan Masala Ltd.,26-Sep-23,26,9,2023,23.8,70,46.1,764.7,786.2,412.9,120,114,63%,184.6,164%,Profit
Magson Retail & Distribution Ltd.,6-Jul-23,6,7,2023,13.7,65,0,5.9,7,6.5,91.2,95.7,47%,102,57%,Profit
Maiden Forgings Ltd.,6-Apr-23,6,4,2023,23.8,63,1,1.4,1.1,1.2,63,59.9,-5%,89.5,42%,Loss
Maitreya Medicare Ltd.,7-Nov-23,7,11,2023,14.9,82,42.6,1021.4,673.1,410.1,162.6,154.4,88%,377,360%,Profit
Mankind Pharma Ltd.,9-May-23,9,5,2023,4326.4,1080,49.2,3.8,0.9,15.3,1300,1422.3,32%,2535.8,135%,Profit
Manoj Vaibhav Gems N Jewellers Ltd.,3-Oct-23,3,10,2023,270.2,215,1.1,5.2,1.7,2.3,215,215.5,0%,280.9,31%,Profit
Marco Cables & Conductors Ltd.,28-Sep-23,28,9,2023,18.7,36,0,23.1,33.3,28.2,38.7,40.6,13%,70,94%,Profit
Marinetrans India Ltd.,8-Dec-23,8,12,2023,10.9,26,0,17.2,44.8,31,30,31,19%,24.8,-5%,Profit
Master Components Ltd.,29-Sep-23,29,9,2023,15.4,140,0,5.7,9.6,7.6,140.4,140.2,0%,309.9,121%,Profit
Mish Designs Ltd.,7-Nov-23,7,11,2023,9.8,122,0,94.2,150.5,122.3,160,152,25%,224.2,84%,Profit
Mono Pharmacare Ltd.,7-Sep-23,7,9,2023,14.8,28,10.3,7.7,18.4,12.8,29,30.4,9%,35,25%,Profit
Muthoot Microfin Ltd.,26-Dec-23,26,12,2023,960,291,17.5,13.2,7.6,11.5,275.3,266.1,-9%,229,-21%,Loss
Net Avenue Technologies Ltd.,8-Dec-23,8,12,2023,10.3,18,32.8,822.1,958.5,475.2,42,39.9,122%,15.2,-16%,Profit
Newjaisa Technologies Ltd.,5-Oct-23,5,10,2023,39.9,47,0.5,20.9,8.7,6.4,71,70.8,51%,98,109%,Profit
Neus Select Trust REIT,19-May-23,19,5,2023,3200,100,1.9,6.2,-,3,103,104.3,4%,139.3,39%,Profit
Nirman Agri Genetics Ltd.,28-Mar-23,28,3,2023,20.3,99,0,1.2,2.2,1.7,102,101.3,2%,346.4,250%,Profit
On Door Concepts Ltd.,1-Nov-23,1,11,2023,31.2,208,0,3.1,7.4,5.3,214,203.4,-2%,433.5,108%,Loss
Oneclick Logistics Ltd.,11-Oct-23,11,10,2023,9.9,99,0,132.2,212.4,172.3,140,133,34%,76,-23%,Profit
Organic Recycling Systems Ltd.,6-Oct-23,6,10,2023,50,200,0,4.2,2.1,3.1,215,225.8,13%,260,30%,Profit
Paragon Fine & Speciality Chemical Ltd.,3-Nov-23,3,11,2023,51.7,100,43.2,557,245.9,191.3,225,213.8,114%,165.5,66%,Profit
Pattech Fitwell Tube Components Ltd.,21-Apr-23,21,4,2023,12,50,0,2,1.9,2,55,57.8,16%,108.5,117%,Profit
Pentagon Rubber Ltd.,10-Jul-23,10,7,2023,16.2,70,14.6,204.4,173.8,98.8,117.3,117.3,68%,106,51%,Profit
Plaza Wires Ltd.,12-Oct-23,12,10,2023,71.3,54,42.8,388.1,374.8,161,76,80.2,49%,85,57%,Profit
Pramara Promotions Ltd.,13-Sep-23,13,9,2023,15.3,63,0,32.4,16.3,24.3,111,116.5,85%,150,138%,Profit
Presstonic Engineering Ltd.,18-Dec-23,18,12,2023,23.3,72,0,127,179.3,153.2,140,147,104%,118.8,65%,Profit
Prospect Commodities Ltd.,20-Mar-23,20,3,2023,7.5,61,0,6.8,3.8,5.3,61,61.5,1%,131,115%,Profit
Protean eGov Technologies Ltd.,13-Nov-23,13,11,2023,490.3,792,46.9,31.6,8.9,23.9,792,883,12%,2030,156%,Profit
Proventus Agrocom Ltd.,5-Jun-23,5,6,2023,69.5,771,0,4.5,0.7,2.6,821,862,12%,1591.5,106%,Profit
Pyramid Technoplast Ltd.,29-Aug-23,29,8,2023,153.1,166,9.9,32.2,14.7,18.3,185,175.8,6%,180.3,9%,Profit
Quality Foils (India) Ltd.,24-Mar-23,24,3,2023,4.5,60,0,464.5,259.6,364.4,100,97.7,63%,107,78%,Profit
Quicktouch Technologies Ltd.,2-May-23,2,5,2023,9.3,61,0,165,49.5,107.3,92,96.6,58%,151.5,148%,Profit
R R Kabel Ltd.,20-Sep-23,20,9,2023,1964,1035,52.3,13.2,2.1,18.7,1180,1198,16%,1707.5,65%,Profit
RBZ Jewellers Ltd.,27-Dec-23,27,12,2023,100,100,13.4,9.3,24.7,16.9,100,105,5%,168.5,69%,Profit
RO Hi-Tech Ltd.,16-Nov-23,16,11,2023,54.5,83,44.8,440.4,256.3,178.2,135,141.8,71%,115.7,39%,Profit
Radiant Cash Management Services Ltd.,4-Jan-23,4,1,2023,387.9,99,0.9,0.4,0.2,0.5,103,104.9,6%,80.2,-19%,Profit
Rajgor Castor Derivatives Ltd.,31-Oct-23,31,10,2023,47.8,50,17.9,345.2,105.8,97.7,59,61.1,22%,34.5,-31%,Profit
Ratnaveer Precision Engineering Ltd.,11-Sep-23,11,9,2023,165,98,133.1,135.2,54,94,123.2,129.3,32%,211.2,116%,Profit
Remus Pharmaceuticals Ltd.,29-May-23,29,5,2023,47.7,1229,10.8,229.3,49.8,57.2,1711.3,1796.8,46%,2489.8,710%,Profit
ResGen Ltd.,13-Mar-23,13,3,2023,28.2,47,1.1,3.9,3.9,2.5,49,46.6,-1%,165.4,252%,Loss
Retina Paints Ltd.,3-May-23,3,5,2023,11.1,30,0,6.2,10.4,8.3,29.1,30.5,2%,76,153%,Profit
Re Sealing & Packing Industries Ltd.,12-Jan-23,12,1,2023,8.1,135,0,2,3.3,2.6,137,143.8,7%,233.5,73%,Profit
Rishabh Instruments Ltd.,11-Sep-23,11,9,2023,490.8,441,72.5,31.3,8.4,31.6,460.1,443.1,1%,354.4,-20%,Profit
Rockingdeals Circular Economy Ltd.,30-Nov-23,30,11,2023,21,140,17.7,438.7,195.2,143,300,315,125%,596.4,326%,Profit
SBFC Finance Ltd.,16-Aug-23,16,8,2023,1025,57,192.9,49.1,11,70.2,82,92.2,62%,88.2,55%,Profit
SVJ Enterprises Ltd.,9-Mar-23,9,3,2023,6.1,36,0,2.1,0.9,1.5,38,36.1,0%,141.3,293%,Profit
SVS Ventures Ltd.,12-Jan-23,12,1,2023,11.2,20,0,0.5,2,1.3,20.5,21.5,8%,19.4,-3%,Profit
Saakshi Medtech & Panels Ltd.,3-Oct-23,3,10,2023,45.2,97,19.8,267.1,100.8,85.3,146,153.3,58%,248.8,156%,Profit
Sah Polymers Ltd.,12-Jan-23,12,1,2023,66.3,65,2.4,32.7,39.8,17.5,85,89.3,37%,82.3,27%,Profit
Sahara Maritime Ltd.,26-Dec-23,26,12,2023,6.9,81,0,8.6,34.5,21.6,81,81.2,0%,61.8,-24%,Profit
Sai Silks (Kalamandir) Ltd.,27-Sep-23,27,9,2023,1201,222,12.3,2.5,0.9,4.4,231,244.9,10%,181.5,-18%,Profit
Samhi Hotels Ltd.,22-Sep-23,22,9,2023,1370.1,126,8.8,1.2,1.1,5.3,134.5,143.4,14%,205.3,63%,Profit
Sancode Technologies Ltd.,18-Apr-23,18,4,2023,5.2,47,0,3.8,3.2,3.5,64,60.8,29%,68,45%,Profit
Sangani Hospitals Ltd.,17-Aug-23,17,8,2023,15.2,40,10.8,1.4,5.9,4.4,44,41.9,5%,41,3%,Profit
Saroja Pharma Industries India Ltd.,13-Sep-23,13,9,2023,9.1,84,0,2.9,14.1,8.5,65,68.3,-19%,58.4,-31%,Loss
Sealmatic India Ltd.,1-Mar-23,1,3,2023,56.2,225,8.7,39.1,12,13.5,225,236.3,5%,612.5,172%,Profit
Senco Gold Ltd.,14-Jul-23,14,7,2023,405,317,90.1,35,6.5,36.5,430,405.3,28%,1284.6,305%,Profit
Service Care Ltd.,26-Jul-23,26,7,2023,20.7,67,1,7.9,12.9,6.2,70.9,67.5,1%,80,19%,Profit
Shanti Spinte Ltd.,27-Dec-23,27,12,2023,31.3,70,14.3,42.6,22,25.5,76,79.8,14%,72.5,4%,Profit
Sharp Chucks And Machines Ltd.,12-Oct-23,12,10,2023,16.8,58,0,36.9,60.5,48.7,66,65,12%,129.1,123%,Profit
Sheetal Universal Ltd.,11-Dec-23,11,12,2023,23.8,70,0,201.9,123.2,162.5,75,75.4,8%,66.5,-5%,Profit
Shelter Pharma Ltd.,23-Aug-23,23,8,2023,16,42,0,6.4,21.2,13.8,40,42,0%,48.2,15%,Loss
Shera Energy Ltd.,17-Feb-23,17,2,2023,35.2,57,8.7,190.1,51.3,47.4,64.1,67.3,18%,176.1,209%,Profit
Shoora Designs Ltd.,29-Aug-23,29,8,2023,2,48,0,33.2,87.7,60.4,91.2,95.8,100%,71.3,49%,Profit
Shree OSFM E-Mobility Ltd.,21-Dec-23,21,12,2023,24.6,65,0,6.6,8.8,7.7,65,68.3,5%,163.1,151%,Profit
Shri Techte Ltd.,4-Aug-23,4,8,2023,45.1,61,30.9,333.4,207.5,138.1,81.2,85.2,40%,66,8%,Profit
Signatureglobal (India) Ltd.,27-Sep-23,27,9,2023,730,385,12.7,13.5,6.8,11.9,444,458.6,19%,1527.4,297%,Profit
Siyaram Recycling Industries Ltd.,21-Dec-23,21,12,2023,23,46,96.4,441.6,459.1,358.1,55,57.8,26%,118.5,158%,Profit
Sonalis Consumer Products Ltd.,19-Jun-23,19,6,2023,2.8,30,0,36.4,45.9,41.1,38,39.9,33%,82,173%,Profit
Sotac Pharmaceuticals Ltd.,13-Apr-23,13,4,2023,33.3,111,1,4,0.9,1.6,115,120.8,9%,150,35%,Profit
